,time,open,high,low,close,tick_volume,spread,real_volume
26009,2020-05-20 06:45:00,1.09412,1.09412,1.09387,1.09397,2942,16,441300000
26010,2020-05-20 07:00:00,1.09397,1.09413,1.09387,1.09413,2789,16,418350000
26011,2020-05-20 07:15:00,1.09413,1.09413,1.09391,1.09394,2405,16,360750000
26012,2020-05-20 07:30:00,1.09394,1.09398,1.09383,1.09387,2339,16,350850000
26013,2020-05-20 07:45:00,1.09387,1.09404,1.09368,1.09403,3111,16,466650000
26014,2020-05-20 08:00:00,1.09403,1.09428,1.09403,1.09417,2995,16,449250000
26015,2020-05-20 08:15:00,1.09417,1.09429,1.09395,1.09429,2837,16,425550000
26016,2020-05-20 08:30:00,1.09429,1.0943,1.09407,1.09416,2801,16,420150000
26017,2020-05-20 08:45:00,1.09416,1.0945,1.09416,1.09424,3307,16,496050000
26018,2020-05-20 09:00:00,1.09424,1.09485,1.0941,1.09433,6099,16,914850000
26019,2020-05-20 09:15:00,1.09434,1.09448,1.09389,1.09408,6201,16,930150000
26020,2020-05-20 09:30:00,1.09408,1.09448,1.09373,1.09396,6872,16,1030800000
26021,2020-05-20 09:45:00,1.09396,1.09474,1.09382,1.09414,7423,16,1113450000
26022,2020-05-20 10:00:00,1.09414,1.09593,1.09408,1.09554,11908,16,1786200000
26023,2020-05-20 10:15:00,1.09554,1.09562,1.09484,1.09488,9631,16,1444650000
26024,2020-05-20 10:30:00,1.09488,1.09499,1.09417,1.09454,9014,16,1352100000
26025,2020-05-20 10:45:00,1.09454,1.09454,1.09372,1.09418,8767,16,1315050000
26026,2020-05-20 11:00:00,1.09418,1.0946,1.09397,1.09428,8083,16,1212450000
26027,2020-05-20 11:15:00,1.09428,1.09444,1.09408,1.09419,8173,16,1225950000
26028,2020-05-20 11:30:00,1.09419,1.09445,1.09397,1.09428,7541,16,1131150000
26029,2020-05-20 11:45:00,1.09428,1.09465,1.09402,1.09414,8439,16,1265850000
26030,2020-05-20 12:00:00,1.09414,1.0946,1.09378,1.09456,8061,16,1209150000
26031,2020-05-20 12:15:00,1.09456,1.09554,1.09438,1.09528,8834,16,1325100000
26032,2020-05-20 12:30:00,1.09528,1.09544,1.09496,1.09516,6932,16,1039800000
26033,2020-05-20 12:45:00,1.09516,1.09516,1.09468,1.09496,7386,16,1107900000
26034,2020-05-20 13:00:00,1.09496,1.0951,1.09391,1.09397,8953,16,1342950000
26035,2020-05-20 13:15:00,1.09397,1.09468,1.0939,1.09438,7192,16,1078800000
26036,2020-05-20 13:30:00,1.09439,1.09439,1.09374,1.09416,7126,16,1068900000
26037,2020-05-20 13:45:00,1.09416,1.09531,1.09372,1.09531,7683,16,1152450000
